lid,rid
468566,855938
492660,669619
639044,879731
305373,565590
631914,919082
335085,425321
154539,714307
337320,689472
328434,742137
785219,935035
476513,1209508
49503,1046815
573001,652395
214387,891478
832333,916594
452893,480130
1122814,1147567
551654,827438
428136,541030
375875,872551
597693,749891
371697,1110403
751477,1198744
428761,757994
322119,370814
107718,378743
18128,449519
879970,1164613
67810,218443
115749,1158298
254718,596708
188602,696898
856531,879243
460923,515530
472146,795967
146266,625885
419044,471588
648201,811098
77295,664421
195491,204059
412320,894507
8414,762449
552384,997035
58024,500760
406861,912300
3006,947673
785577,811142
581494,950447
427654,752132
230818,232096
466522,1203174
127042,774017
771153,1024829
631919,1100824
213682,305587
413631,557619
488826,531897
924305,1088081
658605,899211
638151,1170876
87408,521860
506475,1059537
136845,635007
448635,799478
518968,655645
26162,274168
164504,1085249
751168,795810
721354,788308
179959,449401
305176,504268
248881,970414
815181,1221497
995820,1117911
183305,1117123
97636,356426
57844,599395
267763,1056399
798940,1139301
44777,253635
78847,937186
543718,1184671
415994,921339
491524,591281
133689,1111531
1002394,1158276
303523,911914
326836,376115
223048,1027798
148352,885001
737516,1072951
697738,1061716
312630,957878
154447,957943
38640,813413
625337,1040545
15563,784601
313684,1083650
598840,763341
240049,1085546
390063,756735
410769,1030052
454186,698239
24088,596679
39151,609441
1034716,1171108
693971,747201
238852,701799
38876,829346
66607,1012557
774028,831696
39478,1058192
617957,897868
127357,1155157
446515,780219
250696,358561
143499,797504
961282,963134
126196,471171
46308,543990
782130,829846
195823,250544
206733,330531
402087,796937
514509,1000724
425100,706351
518306,522102
367533,1216957
537069,782489
342170,959869
47282,818458
162516,1204928
404029,730765
576930,1001067
856650,1084633
61262,628085
16919,519863
167093,426750
527079,839793
717464,1193853
423836,638274
122751,200279
1400,453867
383161,960719
794191,1113230
337102,704914
769643,999648
247178,649453
527542,1163542
906197,970833
88095,575891
490645,671232
404682,1214183
335022,434635
1001259,1194473
302951,657188
427158,645430
716856,1116813
278410,468963
217741,377441
792993,874123
93434,226013
492524,1136610
60216,785481
307115,933028
114516,886439
627595,1152035
449837,611564
1085039,1180079
278071,514759
36209,727688
503687,1115565
